title,author,publisher,pub_date,price,link,img_src
겐지 이야기 1,무라사키 시키부,동서문화사,2020.05.01,"14,400원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16324205,https://bookthumb-phinf.pstatic.net/cover/163/242/16324205.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
달뜨기 마을,안재성,목선재,2020.05.01,"12,420원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16339255,https://bookthumb-phinf.pstatic.net/cover/163/392/16339255.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
맥티그,프랭크 노리스,을유문화사,2020.04.30,"14,400원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16338281,https://bookthumb-phinf.pstatic.net/cover/163/382/16338281.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
그들이 가지고 다닌 것들,팀 오브라이언,섬과달,2020.04.30,"12,600원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16342214,https://bookthumb-phinf.pstatic.net/cover/163/422/16342214.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
마녀 카페,토미,클북,2020.04.30,"13,500원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343458,https://bookthumb-phinf.pstatic.net/cover/163/434/16343458.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
초판본 걸리버 여행기,조너선 스위프트,더스토리,2020.04.30,"9,900원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16338832,https://bookthumb-phinf.pstatic.net/cover/163/388/16338832.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
스파이의 유산(양장본 HardCover),존 르 카레,열린책들,2020.04.30,"14,220원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343510,https://bookthumb-phinf.pstatic.net/cover/163/435/16343510.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
선샤인의 완벽한 죽음(안전가옥 오리지널 4),범유진,안전가옥,2020.04.30,"11,700원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16344580,https://bookthumb-phinf.pstatic.net/cover/163/445/16344580.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
우모리 하늘신발,송경아,알마,2020.04.30,"10,800원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343966,https://bookthumb-phinf.pstatic.net/cover/163/439/16343966.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
악의와 공포의 용은 익히 아는 자여라,홍지운,알마,2020.04.30,"10,800원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343971,https://bookthumb-phinf.pstatic.net/cover/163/439/16343971.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
역주 동래박의 4,여조겸 저,전통문화연구회,2020.04.30,"30,600원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16326322,https://bookthumb-phinf.pstatic.net/cover/163/263/16326322.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
오만과 편견(풀컬러 일러스트 에디션)(아르볼 N클래식)(양장본 HardCover),제인 오스틴,지학사 아르볼,2020.04.30,"22,500원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343504,https://bookthumb-phinf.pstatic.net/cover/163/435/16343504.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
폭풍우(열린책들 세계문학 250),윌리엄 셰익스피어,열린책들,2020.04.30,"7,920원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343973,https://bookthumb-phinf.pstatic.net/cover/163/439/16343973.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
아들 도키오(블랙 앤 화이트 89),히가시노 게이고,비채,2020.04.30,"13,050원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343497,https://bookthumb-phinf.pstatic.net/cover/163/434/16343497.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
별들의 노래,김성일,알마,2020.04.30,"10,800원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343977,https://bookthumb-phinf.pstatic.net/cover/163/439/16343977.jpg?type=m1&udate=Sat May 02 17:04:38 KST 2020
뿌리 없는 별들,은림,알마,2020.04.30,"10,800원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343972,https://bookthumb-phinf.pstatic.net/cover/163/439/16343972.jpg?type=m1&udate=Sat May 02 17:04:38 KST 2020
우주아이돌 해방작전,손지상,그래비티북스,2020.04.30,"12,600원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16345363,https://bookthumb-phinf.pstatic.net/cover/163/453/16345363.jpg?type=m1&udate=Sat May 02 17:04:38 KST 2020
우아한 야만의 바다 세트(전2권),틸다킴,퀸즈셀렉션,2020.04.29,"20,700원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16324215,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Sat May 02 17:04:38 KST 2020
아는 사람만 아는 배우 공상표의 필모그래피(오늘의 젊은 작가 26)(양장본 HardCover),김병운,민음사,2020.04.29,"12,600원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16345580,https://bookthumb-phinf.pstatic.net/cover/163/455/16345580.jpg?type=m1&udate=Sat May 02 17:04:38 KST 2020
